Name1,Name2,Name3,Name4,Name5,Name1Team,Name2Team,Name3Team,Name4Team,Name5Team,Name1Position,Name2Position,Name3Position,Name4Position,Name5Position,Salary,FPPG,p_id1,p_id2,p_id3,p_id4,p_id5
Christian McCaffrey,Sam Darnold,Brandon Zylstra,Anthony Miller,Jordan Akins,CAR,CAR,CAR,HOU,HOU,RB1,QB,WR4,WR3,TE2,51500,83.03294179720038,64289-55050,64289-63589,64289-82731,64289-41936,64289-57338
Christian McCaffrey,Sam Darnold,Zane Gonzalez,David Johnson,Jordan Akins,CAR,CAR,CAR,HOU,HOU,RB1,QB,K,RB2,TE2,56500,82.98000109195709,64289-55050,64289-63589,64289-39369,64289-62497,64289-57338
Christian McCaffrey,Brandon Zylstra,Zane Gonzalez,Davis Mills,Mark Ingram II,CAR,CAR,CAR,HOU,HOU,RB1,WR4,K,QB,RB1,57000,82.78000116348268,64289-55050,64289-82731,64289-39369,64289-89628,64289-14211
Christian McCaffrey,Sam Darnold,Robby Anderson,David Johnson,Jordan Akins,CAR,CAR,CAR,HOU,HOU,RB1,QB,WR2,RB2,TE2,57000,82.73000109195709,64289-55050,64289-63589,64289-26251,64289-62497,64289-57338
Christian McCaffrey,Robby Anderson,Brandon Zylstra,Davis Mills,Mark Ingram II,CAR,CAR,CAR,HOU,HOU,RB1,WR2,WR4,QB,RB1,57500,82.53000116348268,64289-55050,64289-26251,64289-82731,64289-89628,64289-14211
Christian McCaffrey,Robby Anderson,Dan Arnold,Davis Mills,Brandin Cooks,CAR,CAR,CAR,HOU,HOU,RB1,WR2,TE1,QB,WR1,60000,82.43000173568727,64289-55050,64289-26251,64289-80546,64289-89628,64289-29501
Christian McCaffrey,Sam Darnold,Terrace Marshall Jr.,Dan Arnold,Mark Ingram II,CAR,CAR,CAR,CAR,HOU,RB1,QB,WR3,TE1,RB1,59500,82.33000135421753,64289-55050,64289-63589,64289-85672,64289-80546,64289-14211
Christian McCaffrey,Sam Darnold,Brandon Zylstra,Dan Arnold,Jordan Akins,CAR,CAR,CAR,CAR,HOU,RB1,QB,WR4,TE1,TE2,53500,82.18000090122224,64289-55050,64289-63589,64289-82731,64289-80546,64289-57338
Christian McCaffrey,DJ Moore,Brandon Zylstra,Davis Mills,Chris Conley,CAR,CAR,CAR,HOU,HOU,RB1,WR1,WR4,QB,WR2,57500,82.18000078201294,64289-55050,64289-63043,64289-82731,64289-89628,64289-30403
Christian McCaffrey,Robby Anderson,Brandon Zylstra,Zane Gonzalez,Davis Mills,CAR,CAR,CAR,CAR,HOU,RB1,WR2,WR4,K,QB,56000,82.03000116348268,64289-55050,64289-26251,64289-82731,64289-39369,64289-89628
Christian McCaffrey,Sam Darnold,Zane Gonzalez,Chris Conley,Anthony Miller,CAR,CAR,CAR,HOU,HOU,RB1,QB,K,WR2,WR3,54500,81.78294215482823,64289-55050,64289-63589,64289-39369,64289-30403,64289-41936
Christian McCaffrey,DJ Moore,Zane Gonzalez,Davis Mills,Anthony Miller,CAR,CAR,CAR,HOU,HOU,RB1,WR1,K,QB,WR3,58500,81.68294225019568,64289-55050,64289-63043,64289-39369,64289-89628,64289-41936
